"title","budget","genre","mpaa","runtimes","rating","gross"
"12 Years a Slave","20000000","11","4","134","8.1","56671993"
"127 Hours","18000000","13","4","94","7.6","18335230"
"13 Going on 30","37000000","5","3","98","6.1","57231747"
"1408","25000000","2","3","104","6.8","71985628"
"1492: Conquest of Paradise","40000000","13","3","154","6.5","7191399"
"1776","4000000","4","2","142","7.6","6104000"
"2 Guns","61000000","20","4","109","6.8","75612460"
"2016: Obama's America","2500000","1","2","87","5.1","33449086"
"21 & Over","13000000","5","4","93","5.9","25682380"
"21","35000000","11","3","123","6.8","81159365"
"22 Jump Street","50000000","20","4","112","7.1","191719337"
"28 Days Later...","8000000","2","4","113","7.6","45064915"
"3 Ninjas","6500000","20","2","84","5.1","29000301"
"3 Ninjas Kick Back","20000000","20","2","93","4.2","11784000"
"300: Rise of an Empire","110000000","20","4","102","6.3","106580051"
"3:10 to Yuma","55000000","13","4","122","7.8","53606916"
"40 Days and 40 Nights","17000000","5","4","96","5.6","37950822"
"47 Ronin","175000000","20","3","118","6.3","38362475"
"4: Rise of the Silver Surfer","130000000","20","2","92","5.6","131921738"
"50 First Dates","75000000","5","3","99","6.8","120908074"
"8 Seconds","7000000","11","3","105","6.4","19604000"
"8MM","40000000","14","4","123","6.5","36663315"
"A Beautiful Mind","60000000","11","3","135","8.2","170742341"
"A Better Life","10000000","4","3","98","7.2","1759252"
"A Bronx Tale","22000000","14","4","121","7.8","17266971"
"A Christmas Carol","200000000","19","2","96","6.8","137855863"
"A Few Good Men","40000000","4","4","138","7.6","141340178"
"A Good Day to Die Hard","92000000","20","4","98","5.3","67349198"
"A Good Man in Africa","20000000","5","4","94","5.0","2308390"
"A Haunted House","2000000","5","4","86","5.0","40041683"
"A Haunted House 2","3500000","5","4","86","4.7","17329486"
"A Home of Our Own","12000000","11","2","104","7.0","1703282"
"A Knight's Tale","65000000","20","3","132","6.9","56569702"
"A League of Their Own","40000000","5","2","128","7.2","107533928"
"A Low Down Dirty Shame","10000000","20","4","100","5.7","29392418"
"A Midnight Clear","5000000","4","4","108","7.2","1526697"
"A Nightmare on Elm Street","27000000","2","4","95","5.2","63075011"
"A Perfect Murder","60000000","14","4","107","6.5","67638368"
"A Perfect World","30000000","14","3","138","7.5","31160784"
"A Prairie Home Companion","10000000","5","3","105","6.8","20342852"
"A Streetcar Named Desire","1800000","4","2","122","8.1","8000000"
"A Time to Kill","40000000","14","4","149","7.4","108766007"
"A Walk in the Clouds","20000000","4","3","102","6.6","50012507"
